ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,LoanSource
Mane-2_ashes-1,,Mane,2_ashes,-ju.B.1,-ju.B.1,,,Peiros2004a,,false,
Deang-2_ashes-1,,Deang,2_ashes,kəfaŋ,kəfaŋ,,,Peiros2004a,,false,
Rumai-2_ashes-1,,Rumai,2_ashes,kə.55 faŋ.412,kə.55 faŋ.412,,,Peiros2004a,,false,
Khasi-2_ashes-1,,Khasi,2_ashes,dypei,dypei,,,Peiros2004a,,false,
Kharia-2_ashes-1,,Kharia,2_ashes,kharom,kharom,,,Peiros2004a,,false,
Juang-2_ashes-1,,Juang,2_ashes,akob,akob,,,Peiros2004a,,false,
Bonda-2_ashes-1,,Bonda,2_ashes,ug,ug,,,Peiros2004a,,false,
Sora-2_ashes-1,,Sora,2_ashes,kúmab,kúmab,,,Peiros2004a,,false,
Santali-2_ashes-1,,Santali,2_ashes,toroc,toroc,,,Peiros2004a,,false,
Mundari-2_ashes-1,,Mundari,2_ashes,toroeʔ,toroeʔ,,,Peiros2004a,,false,
Korku-2_ashes-1,,Korku,2_ashes,hob,hob,,,Peiros2004a,,false,
Car-2_ashes-1,,Car,2_ashes,ti-sum,ti-sum,,,Peiros2004a,,false,
Nancawri-2_ashes-1,,Nancawri,2_ashes,hitɨj,hitɨj,,,Peiros2004a,,false,
Stieng-3_bark-1,,Stieng,3_bark,kop,kop,,,Peiros2004a,,false,
Chrau-3_bark-1,,Chrau,3_bark,hmɔʔ,hmɔʔ,,,Peiros2004a,,false,
MRolom-3_bark-1,,MRolom,3_bark,kop,kop,,,Peiros2004a,,false,
MBunong-3_bark-1,,MBunong,3_bark,nkhɔp,nkhɔp,,,Peiros2004a,,false,
MDip-3_bark-1,,MDip,3_bark,ndo,ndo,,,Peiros2004a,,false,
Ma1-3_bark-1,,Ma1,3_bark,doh,doh,,,Peiros2004a,,false,
Ma2-3_bark-1,,Ma2,3_bark,doh,doh,,,Peiros2004a,,false,
Sre-3_bark-1,,Sre,3_bark,kəmho,kəmho,,,Peiros2004a,,false,
KahoChil-3_bark-1,,KahoChil,3_bark,ntɔ,ntɔ,,,Peiros2004a,,false,
KorCua-3_bark-1,,KorCua,3_bark,kaduh,kaduh,,,Peiros2004a,,false,
Kadong-3_bark-1,,Kadong,3_bark,mwak,mwak,,,Peiros2004a,,false,
Hre-3_bark-1,,Hre,3_bark,kanhah,kanhah,,,Peiros2004a,,false,
Rengao-3_bark-1,,Rengao,3_bark,hmok.T,hmok.T,,,Peiros2004a,,false,
Didra-3_bark-1,,Didra,3_bark,kəmuʔ,kəmuʔ,,,Peiros2004a,,false,
Sedang-3_bark-1,,Sedang,3_bark,kəmoa.L,kəmoa.L,,,Peiros2004a,,false,
Halang-3_bark-1,,Halang,3_bark,muok,muok,,,Peiros2004a,,false,
Jeh-3_bark-1,,Jeh,3_bark,kəduh,kəduh,,,Peiros2004a,,false,
Veh-3_bark-1,,Veh,3_bark,gədɔh,gədɔh,,,Peiros2004a,,false,
Je-3_bark-1,,Je,3_bark,pal.33,pal.33,,,Peiros2004a,,false,
